mode,set_size_bit,set_size,num_clients_per_server,max_weight,recommended_weight_scale_div
random,2,4,13,8192,64
random,2,4,13,1000000,8192
random,2,4,13,8000000,65536
random,2,4,14,8192,64
random,2,4,14,1000000,8192
random,2,4,14,8000000,65536
random,2,4,15,8192,64
random,2,4,15,1000000,8192
random,2,4,15,8000000,65536
random,2,4,16,8192,64
random,2,4,16,1000000,8192
random,2,4,16,8000000,65536
random,2,4,17,8192,64
random,2,4,17,1000000,8192
random,2,4,17,8000000,65536
random,2,4,18,8192,64
random,2,4,18,1000000,8192
random,2,4,18,8000000,65536
random,2,4,19,8192,64
random,2,4,19,1000000,8192
random,2,4,19,8000000,65536
random,2,4,20,8192,64
random,2,4,20,1000000,8192
random,2,4,20,8000000,65536
random,3,8,1,8192,64
random,3,8,1,1000000,8192
random,3,8,1,8000000,65536
random,3,8,2,8192,64
random,3,8,2,1000000,8192
random,3,8,2,8000000,65536
random,3,8,3,8192,64
random,3,8,3,1000000,8192
random,3,8,3,8000000,65536
random,3,8,4,8192,64
random,3,8,4,1000000,8192
random,3,8,4,8000000,65536
random,3,8,5,8192,64
random,3,8,5,1000000,8192
random,3,8,5,8000000,65536
random,3,8,6,8192,64
random,3,8,6,1000000,8192
random,3,8,6,8000000,65536
random,3,8,7,8192,64
random,3,8,7,1000000,8192
random,3,8,7,8000000,65536
random,3,8,8,8192,64
random,3,8,8,1000000,8192
random,3,8,8,8000000,65536
random,3,8,9,8192,64
random,3,8,9,1000000,8192
random,3,8,9,8000000,65536
random,3,8,10,8192,64
random,3,8,10,1000000,8192
random,3,8,10,8000000,65536
random,3,8,11,8192,64
random,3,8,11,1000000,8192
random,3,8,11,8000000,65536
random,3,8,12,8192,64
random,3,8,12,1000000,8192
random,3,8,12,8000000,65536
random,3,8,13,8192,64
random,3,8,13,1000000,8192
random,3,8,13,8000000,65536
random,3,8,14,8192,64
random,3,8,14,1000000,8192
random,3,8,14,8000000,65536
random,3,8,15,8192,64
random,3,8,15,1000000,8192
random,3,8,15,8000000,65536
random,3,8,16,8192,64
random,3,8,16,1000000,8192
random,3,8,16,8000000,65536
random,3,8,17,8192,64
random,3,8,17,1000000,8192
random,3,8,17,8000000,65536
random,3,8,18,8192,64
random,3,8,18,1000000,8192
random,3,8,18,8000000,65536
random,3,8,19,8192,64
random,3,8,19,1000000,8192
random,3,8,19,8000000,65536
random,3,8,20,8192,64
random,3,8,20,1000000,8192
random,3,8,20,8000000,65536
random,4,16,1,8192,128
random,4,16,1,1000000,16384
random,4,16,1,8000000,131072
random,4,16,2,8192,128
random,4,16,2,1000000,16384
random,4,16,2,8000000,131072
random,4,16,3,8192,128
random,4,16,3,1000000,16384
random,4,16,3,8000000,131072
random,4,16,4,8192,128
random,4,16,4,1000000,16384
random,4,16,4,8000000,131072
random,4,16,5,8192,128
random,4,16,5,1000000,16384
random,4,16,5,8000000,131072
random,4,16,6,8192,128
random,4,16,6,1000000,16384
random,4,16,6,8000000,131072
random,4,16,7,8192,128
random,4,16,7,1000000,16384
random,4,16,7,8000000,131072
random,4,16,8,8192,128
random,4,16,8,1000000,16384
random,4,16,8,8000000,131072
random,4,16,9,8192,128
random,4,16,9,1000000,16384
random,4,16,9,8000000,131072
random,4,16,10,8192,128
random,4,16,10,1000000,16384
random,4,16,10,8000000,131072
random,4,16,11,8192,128
random,4,16,11,1000000,16384
random,4,16,11,8000000,131072
random,4,16,12,8192,128
random,4,16,12,1000000,16384
random,4,16,12,8000000,131072
random,4,16,13,8192,128
random,4,16,13,1000000,16384
random,4,16,13,8000000,131072
random,4,16,14,8192,128
random,4,16,14,1000000,16384
random,4,16,14,8000000,131072
random,4,16,15,8192,128
random,4,16,15,1000000,16384
random,4,16,15,8000000,131072
random,4,16,16,8192,128
random,4,16,16,1000000,16384
random,4,16,16,8000000,131072
random,4,16,17,8192,128
random,4,16,17,1000000,16384
random,4,16,17,8000000,131072
random,4,16,18,8192,128
random,4,16,18,1000000,16384
random,4,16,18,8000000,131072
random,4,16,19,8192,128
random,4,16,19,1000000,16384
random,4,16,19,8000000,131072
random,4,16,20,8192,128
random,4,16,20,1000000,16384
random,4,16,20,8000000,131072
random,5,32,1,8192,128
random,5,32,1,1000000,16384
random,5,32,1,8000000,131072
random,5,32,2,8192,128
random,5,32,2,1000000,16384
random,5,32,2,8000000,131072
random,5,32,3,8192,128
random,5,32,3,1000000,16384
random,5,32,3,8000000,131072
random,5,32,4,8192,128
random,5,32,4,1000000,16384
random,5,32,4,8000000,131072
random,5,32,5,8192,128
random,5,32,5,1000000,16384
random,5,32,5,8000000,131072
random,5,32,6,8192,128
random,5,32,6,1000000,16384
random,5,32,6,8000000,131072
random,5,32,7,8192,128
random,5,32,7,1000000,16384
random,5,32,7,8000000,131072
random,5,32,8,8192,128
random,5,32,8,1000000,16384
random,5,32,8,8000000,131072
random,5,32,9,8192,128
random,5,32,9,1000000,16384
random,5,32,9,8000000,131072
random,5,32,10,8192,128
random,5,32,10,1000000,16384
random,5,32,10,8000000,131072
random,5,32,11,8192,128
random,5,32,11,1000000,16384
random,5,32,11,8000000,131072
random,5,32,12,8192,128
random,5,32,12,1000000,16384
random,5,32,12,8000000,131072
random,5,32,13,8192,128
random,5,32,13,1000000,16384
random,5,32,13,8000000,131072
random,5,32,14,8192,128
random,5,32,14,1000000,16384
random,5,32,14,8000000,131072
random,5,32,15,8192,128
random,5,32,15,1000000,16384
random,5,32,15,8000000,131072
random,5,32,16,8192,128
random,5,32,16,1000000,16384
random,5,32,16,8000000,131072
random,5,32,17,8192,128
random,5,32,17,1000000,16384
random,5,32,17,8000000,131072
random,5,32,18,8192,128
random,5,32,18,1000000,16384
random,5,32,18,8000000,131072
random,5,32,19,8192,128
random,5,32,19,1000000,16384
random,5,32,19,8000000,131072
random,5,32,20,8192,128
random,5,32,20,1000000,16384
random,5,32,20,8000000,131072
random,6,64,1,8192,256
random,6,64,1,1000000,32768
random,6,64,1,8000000,262144
random,6,64,2,8192,256
random,6,64,2,1000000,32768
random,6,64,2,8000000,262144
random,6,64,3,8192,256
random,6,64,3,1000000,32768
random,6,64,3,8000000,262144
random,6,64,4,8192,256
random,6,64,4,1000000,32768
random,6,64,4,8000000,262144
random,6,64,5,8192,256
random,6,64,5,1000000,32768
random,6,64,5,8000000,262144
random,6,64,6,8192,256
random,6,64,6,1000000,32768
random,6,64,6,8000000,262144
random,6,64,7,8192,256
random,6,64,7,1000000,32768
random,6,64,7,8000000,262144
random,6,64,8,8192,256
random,6,64,8,1000000,32768
random,6,64,8,8000000,262144
random,6,64,9,8192,256
random,6,64,9,1000000,32768
random,6,64,9,8000000,262144
random,6,64,10,8192,256
random,6,64,10,1000000,32768
random,6,64,10,8000000,262144
random,6,64,11,8192,256
random,6,64,11,1000000,32768
random,6,64,11,8000000,262144
random,6,64,12,8192,256
random,6,64,12,1000000,32768
random,6,64,12,8000000,262144
random,6,64,13,8192,256
random,6,64,13,1000000,32768
random,6,64,13,8000000,262144
random,6,64,14,8192,256
random,6,64,14,1000000,32768
random,6,64,14,8000000,262144
random,6,64,15,8192,256
random,6,64,15,1000000,32768
random,6,64,15,8000000,262144
random,6,64,16,8192,256
random,6,64,16,1000000,32768
random,6,64,16,8000000,262144
random,6,64,17,8192,256
random,6,64,17,1000000,32768
random,6,64,17,8000000,262144
random,6,64,18,8192,256
random,6,64,18,1000000,32768
random,6,64,18,8000000,262144
random,6,64,19,8192,256
random,6,64,19,1000000,32768
random,6,64,19,8000000,262144
random,6,64,20,8192,256
random,6,64,20,1000000,32768
random,6,64,20,8000000,262144
random,7,128,1,8192,256
random,7,128,1,1000000,32768
random,7,128,1,8000000,262144
random,7,128,2,8192,256
random,7,128,2,1000000,32768
random,7,128,2,8000000,262144
random,7,128,3,8192,256
random,7,128,3,1000000,32768
random,7,128,3,8000000,262144
random,7,128,4,8192,256
random,7,128,4,1000000,32768
random,7,128,4,8000000,262144
random,7,128,5,8192,256
random,7,128,5,1000000,32768
random,7,128,5,8000000,262144
random,7,128,6,8192,256
random,7,128,6,1000000,32768
random,7,128,6,8000000,262144
random,7,128,7,8192,256
random,7,128,7,1000000,32768
random,7,128,7,8000000,262144
random,7,128,8,8192,256
random,7,128,8,1000000,32768
random,7,128,8,8000000,262144
random,7,128,9,8192,256
random,7,128,9,1000000,32768
random,7,128,9,8000000,262144
random,7,128,10,8192,256
random,7,128,10,1000000,32768
random,7,128,10,8000000,262144
random,7,128,11,8192,256
random,7,128,11,1000000,32768
random,7,128,11,8000000,262144
random,7,128,12,8192,256
random,7,128,12,1000000,32768
random,7,128,12,8000000,262144
random,7,128,13,8192,256
random,7,128,13,1000000,32768
random,7,128,13,8000000,262144
random,7,128,14,8192,256
random,7,128,14,1000000,32768
random,7,128,14,8000000,262144
random,7,128,15,8192,256
random,7,128,15,1000000,32768
random,7,128,15,8000000,262144
random,7,128,16,8192,256
random,7,128,16,1000000,32768
random,7,128,16,8000000,262144
random,7,128,17,8192,256
random,7,128,17,1000000,32768
random,7,128,17,8000000,262144
random,7,128,18,8192,256
random,7,128,18,1000000,32768
random,7,128,18,8000000,262144
random,7,128,19,8192,256
random,7,128,19,1000000,32768
random,7,128,19,8000000,262144
random,7,128,20,8192,256
random,7,128,20,1000000,32768
random,7,128,20,8000000,262144
random,8,256,1,8192,512
random,8,256,1,1000000,65536
random,8,256,1,8000000,524288
random,8,256,2,8192,512
random,8,256,2,1000000,65536
random,8,256,2,8000000,524288
random,8,256,3,8192,512
random,8,256,3,1000000,65536
random,8,256,3,8000000,524288
random,8,256,4,8192,512
random,8,256,4,1000000,65536
random,8,256,4,8000000,524288
random,8,256,5,8192,512
random,8,256,5,1000000,65536
random,8,256,5,8000000,524288
random,8,256,6,8192,512
random,8,256,6,1000000,65536
random,8,256,6,8000000,524288
random,8,256,7,8192,512
random,8,256,7,1000000,65536
random,8,256,7,8000000,524288
random,8,256,8,8192,512
random,8,256,8,1000000,65536
random,8,256,8,8000000,524288
random,8,256,9,8192,512
random,8,256,9,1000000,65536
random,8,256,9,8000000,524288
random,8,256,10,8192,512
random,8,256,10,1000000,65536
random,8,256,10,8000000,524288
random,8,256,11,8192,512
random,8,256,11,1000000,65536
random,8,256,11,8000000,524288
random,8,256,12,8192,512
random,8,256,12,1000000,65536
random,8,256,12,8000000,524288
random,8,256,13,8192,512
random,8,256,13,1000000,65536
random,8,256,13,8000000,524288
random,8,256,14,8192,512
random,8,256,14,1000000,65536
random,8,256,14,8000000,524288
random,8,256,15,8192,512
random,8,256,15,1000000,65536
random,8,256,15,8000000,524288
random,8,256,16,8192,512
random,8,256,16,1000000,65536
random,8,256,16,8000000,524288
random,8,256,17,8192,512
random,8,256,17,1000000,65536
random,8,256,17,8000000,524288
random,8,256,18,8192,512
random,8,256,18,1000000,65536
random,8,256,18,8000000,524288
random,8,256,19,8192,512
random,8,256,19,1000000,65536
random,8,256,19,8000000,524288
random,8,256,20,8192,512
random,8,256,20,1000000,65536
random,8,256,20,8000000,524288
random,9,512,1,8192,512
random,9,512,1,1000000,65536
random,9,512,1,8000000,524288
random,9,512,2,8192,512
random,9,512,2,1000000,65536
random,9,512,2,8000000,524288
random,9,512,3,8192,512
random,9,512,3,1000000,65536
random,9,512,3,8000000,524288
random,9,512,4,8192,512
random,9,512,4,1000000,65536
random,9,512,4,8000000,524288
random,9,512,5,8192,512
random,9,512,5,1000000,65536
random,9,512,5,8000000,524288
random,9,512,6,8192,512
random,9,512,6,1000000,65536
random,9,512,6,8000000,524288
random,9,512,7,8192,512
random,9,512,7,1000000,65536
random,9,512,7,8000000,524288
random,9,512,8,8192,512
random,9,512,8,1000000,65536
random,9,512,8,8000000,524288
random,9,512,9,8192,512
random,9,512,9,1000000,65536
random,9,512,9,8000000,524288
random,9,512,10,8192,512
random,9,512,10,1000000,65536
random,9,512,10,8000000,524288
random,9,512,11,8192,512
random,9,512,11,1000000,65536
random,9,512,11,8000000,524288
random,9,512,12,8192,512
random,9,512,12,1000000,65536
random,9,512,12,8000000,524288
random,9,512,13,8192,512
random,9,512,13,1000000,65536
random,9,512,13,8000000,524288
random,9,512,14,8192,512
random,9,512,14,1000000,65536
random,9,512,14,8000000,524288
random,9,512,15,8192,512
random,9,512,15,1000000,65536
random,9,512,15,8000000,524288
random,9,512,16,8192,512
random,9,512,16,1000000,65536
random,9,512,16,8000000,524288
random,9,512,17,8192,512
random,9,512,17,1000000,65536
random,9,512,17,8000000,524288
random,9,512,18,8192,512
random,9,512,18,1000000,65536
random,9,512,18,8000000,524288
random,9,512,19,8192,512
random,9,512,19,1000000,65536
random,9,512,19,8000000,524288
random,9,512,20,8192,512
random,9,512,20,1000000,65536
random,9,512,20,8000000,524288
random,10,1024,1,8192,1024
random,10,1024,1,1000000,131072
random,10,1024,1,8000000,1048576
random,10,1024,2,8192,1024
random,10,1024,2,1000000,131072
random,10,1024,2,8000000,1048576
random,10,1024,3,8192,1024
random,10,1024,3,1000000,131072
random,10,1024,3,8000000,1048576
random,10,1024,4,8192,1024
random,10,1024,4,1000000,131072
random,10,1024,4,8000000,1048576
random,10,1024,5,8192,1024
random,10,1024,5,1000000,131072
random,10,1024,5,8000000,1048576
random,10,1024,6,8192,1024
random,10,1024,6,1000000,131072
random,10,1024,6,8000000,1048576
random,10,1024,7,8192,1024
random,10,1024,7,1000000,131072
random,10,1024,7,8000000,1048576
random,10,1024,8,8192,1024
random,10,1024,8,1000000,131072
random,10,1024,8,8000000,1048576
random,10,1024,9,8192,1024
random,10,1024,9,1000000,131072
random,10,1024,9,8000000,1048576
random,10,1024,10,8192,1024
random,10,1024,10,1000000,131072
random,10,1024,10,8000000,1048576
