mode,set_size_bit,set_size,num_clients_per_server,max_weight,recommended_weight_scale_div
worst_overlap,6,64,18,1000000,131072
worst_overlap,6,64,18,8000000,1048576
worst_overlap,6,64,19,8192,1024
worst_overlap,6,64,19,1000000,131072
worst_overlap,6,64,19,8000000,1048576
worst_overlap,6,64,20,8192,1024
worst_overlap,6,64,20,1000000,131072
worst_overlap,6,64,20,8000000,1048576
worst_overlap,7,128,1,8192,256
worst_overlap,7,128,1,1000000,32768
worst_overlap,7,128,1,8000000,262144
worst_overlap,7,128,2,8192,512
worst_overlap,7,128,2,1000000,65536
worst_overlap,7,128,2,8000000,524288
worst_overlap,7,128,3,8192,512
worst_overlap,7,128,3,1000000,65536
worst_overlap,7,128,3,8000000,524288
worst_overlap,7,128,4,8192,512
worst_overlap,7,128,4,1000000,65536
worst_overlap,7,128,4,8000000,524288
worst_overlap,7,128,5,8192,512
worst_overlap,7,128,5,1000000,65536
worst_overlap,7,128,5,8000000,524288
worst_overlap,7,128,6,8192,1024
worst_overlap,7,128,6,1000000,131072
worst_overlap,7,128,6,8000000,1048576
worst_overlap,7,128,7,8192,1024
worst_overlap,7,128,7,1000000,131072
worst_overlap,7,128,7,8000000,1048576
worst_overlap,7,128,8,8192,1024
worst_overlap,7,128,8,1000000,131072
worst_overlap,7,128,8,8000000,1048576
worst_overlap,7,128,9,8192,1024
worst_overlap,7,128,9,1000000,131072
worst_overlap,7,128,9,8000000,1048576
worst_overlap,7,128,10,8192,1024
worst_overlap,7,128,10,1000000,131072
worst_overlap,7,128,10,8000000,1048576
worst_overlap,7,128,11,8192,1024
worst_overlap,7,128,11,1000000,131072
worst_overlap,7,128,11,8000000,1048576
worst_overlap,7,128,12,8192,1024
worst_overlap,7,128,12,1000000,131072
worst_overlap,7,128,12,8000000,1048576
worst_overlap,7,128,13,8192,1024
worst_overlap,7,128,13,1000000,131072
worst_overlap,7,128,13,8000000,1048576
worst_overlap,7,128,14,8192,1024
worst_overlap,7,128,14,1000000,131072
worst_overlap,7,128,14,8000000,1048576
worst_overlap,7,128,15,8192,1024
worst_overlap,7,128,15,1000000,131072
worst_overlap,7,128,15,8000000,1048576
worst_overlap,7,128,16,8192,1024
worst_overlap,7,128,16,1000000,131072
worst_overlap,7,128,16,8000000,1048576
worst_overlap,7,128,17,8192,1024
worst_overlap,7,128,17,1000000,131072
worst_overlap,7,128,17,8000000,1048576
worst_overlap,7,128,18,8192,1024
worst_overlap,7,128,18,1000000,131072
worst_overlap,7,128,18,8000000,1048576
worst_overlap,7,128,19,8192,1024
